id,measure_name,sector,program,market,gas_utility,electric_utility,baseline_condition,efficient_condition,complementary_condition,building_type,measure_life_(yrs),incremental_cost_(usd),annual_oandm_savings_(usd),cost_of_baseline_replacement_(usd),deferred_replacement_credit_(usd),deferred_replacement_year_x_(usd),present_value_used_(usd),kw-kwh_ratio,water_savings_(gallons),energy_savings_1_end_use,energy_savings_1_value,energy_savings_1_fuel_type,energy_savings_1_units,energy_savings_2_end_use,energy_savings_2_value,energy_savings_2_fuel_type,energy_savings_2_units,energy_savings_3_end_use,energy_savings_3_value,energy_savings_3_fuel_type,energy_savings_3_units,measure_incremental_cost,demand_ratio,deferred_replacement_credit_value,measure_water_savings,measure_electric_energy_savings,measure_natural_gas_savings,measure_fuel_oil_savings,measure_propane_savings,measure_gasoline_savings,measure_diesel_savings,electric_energy_savings_value,electric_demand_savings_value,natural_gas_savings_value,fuel_oil_savings_value,propane_savings_value,diesel_transportation_savings_value,gasoline_transportation_savings_value,other_fuel_savings_value,annual_oandm_savings,o_and_m_savings_value,water_savings_value,electric_incentive_pct,natural_gas_incentive_pct,nonutility_incentive_pct,electric_utility_incentive_value,natural_gas_utility_incentive_value,nonutility_incentive_value,total_incentive_value,electric_utility_nonmeasure_program_cost,natural_gas_utility_nonmeasure_program_costs,nonutility_nonmeasure_program_costs,risk_discount_value,electric_carbon_savings_value,electric_n2o_savings_value,electric_ch4_savings_value,natural_gas_carbon_savings_value,fuel_oil_carbon_savings_value,propane_carbon_savings_value,diesel_transportation_carbon_savings_value,gasoline_transportation_carbon_savings_value,natural_gas_n2o_savings_value,fuel_oil_n2o_savings_value,propane_n2o_savings_value,diesel_transportation_n2o_savings_value,gasoline_transportation_n2o_savings_value,natural_gas_ch4_savings_value,fuel_oil_ch4_savings_value,propane_ch4_savings_value,diesel_transportation_ch4_savings_value,gasoline_transportation_ch4_savings_value,end_use_fuel_externalities,other_nonresource_benefits,electric_customer_bill_savings,natural_gas_customer_bill_savings,heating_oil_customer_bill_savings,EUCT_cost,EUCT_benefit,EUCT_BCR,GUCT_cost,GUCT_benefit,GUCT_BCR,EGUCT_cost,EGUCT_benefit,EGUCT_BCR,TRC_cost,TRC_benefit,TRC_BCR,SCT_cost,SCT_benefit,SCT_BCR,RIM_cost,RIM_benefit,RIM_BCR,PCT_cost,PCT_benefit,PCT_BCR
1,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,LIRNC,NC,Methaners,ElecCo,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,single_family_li,10,700,0,0,0.0,0.0,0.0,40,0,space_heating,80.0,natural_gas,therms,space_heating,30.0,electricity,kWh,,,,,700,0.0045662100456621,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
2,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,NLIRNC,NC,Methaners,ElecCo,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,multi_family,10,700,0,0,0.0,0.0,0.0,90,0,space_heating,180.0,natural_gas,therms,space_heating,67.5,electricity,kWh,,,,,700,0.010273972602739725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
3,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,NLIRNC,NC,Methaners,ElecCo,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,single_family,10,700,0,0,0.0,0.0,0.0,40,0,space_heating,80.0,natural_gas,therms,space_heating,30.0,electricity,kWh,,,,,700,0.0045662100456621,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
4,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,LIRNC,NC,Methaners,ElecCo,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,multi_family_li,10,700,0,0,0.0,0.0,0.0,90,0,space_heating,180.0,natural_gas,therms,space_heating,67.5,electricity,kWh,,,,,700,0.010273972602739725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
5,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,LIRNC,NC,SuperGas,ElecCo,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,single_family_li,10,700,0,0,0.0,0.0,0.0,40,0,space_heating,80.0,natural_gas,therms,space_heating,30.0,electricity,kWh,,,,,700,0.0045662100456621,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
6,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,NLIRNC,NC,SuperGas,ElecCo,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,multi_family,10,700,0,0,0.0,0.0,0.0,90,0,space_heating,180.0,natural_gas,therms,space_heating,67.5,electricity,kWh,,,,,700,0.010273972602739725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
7,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,NLIRNC,NC,SuperGas,ElecCo,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,single_family,10,700,0,0,0.0,0.0,0.0,40,0,space_heating,80.0,natural_gas,therms,space_heating,30.0,electricity,kWh,,,,,700,0.0045662100456621,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
8,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,LIRNC,NC,SuperGas,ElecCo,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,multi_family_li,10,700,0,0,0.0,0.0,0.0,90,0,space_heating,180.0,natural_gas,therms,space_heating,67.5,electricity,kWh,,,,,700,0.010273972602739725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
9,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,LIRNC,NC,SuperGas,FreshTricity,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,single_family_li,10,700,0,0,0.0,0.0,0.0,40,0,space_heating,80.0,natural_gas,therms,space_heating,30.0,electricity,kWh,,,,,700,0.0045662100456621,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
10,furnace_natural_gas_baseline_residential_to_furnace_natural_gas_efficient_residential,residential,NLIRNC,NC,SuperGas,FreshTricity,furnace_natural_gas_baseline_residential,furnace_natural_gas_efficient_residential,,multi_family,10,700,0,0,0.0,0.0,0.0,90,0,space_heating,180.0,natural_gas,therms,space_heating,67.5,electricity,kWh,,,,,700,0.010273972602739725,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.5,350.0,350.0,350.0,1050.0,70.0,210.0,210.0,14.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.43324293616292675,0.0,0.0,0.0,420.0,0.0,0.0,560.0,0.0,0.0,980.0,0.0,0.0,1540.0,14.433242936162927,0.00937223567283307,1540.0,14.433242936162927,0.00937223567283307,980.0,560.0,0.5714285714285714,700,1050.433242936163,1.5006189184802328
